snapshot_date,fund_isin,ticker,holdingWeight,newsCount7d,avgSentiment,positiveShare,negativeShare,neutralShare,target_return_5d
2026-03-11,SE0011527613,JNJ,1.23,5,0.0,0.0,0.0,1.0,-0.02349894
2026-03-11,SE0011527613,KO,0.69,4,-0.25,0.0,0.25,0.75,-0.02138344
2026-03-11,SE0011527613,MA,0.63,5,0.2,0.2,0.0,0.8,-0.03081349
2026-03-11,SE0011527613,META,1.85,2,0.0,0.0,0.0,1.0,-0.05982957
2026-03-11,SE0011527613,MRK,0.65,4,0.25,0.25,0.0,0.75,-0.01471473
2026-03-11,SE0011527613,MSFT,3.91,8,0.25,0.25,0.0,0.75,-0.03233056
2026-03-11,SE0011527613,MU,0.68,10,0.3,0.3,0.0,0.7,0.10279684
2026-03-11,SE0011527613,NESN.SW,0.59,0,0.0,0.0,0.0,0.0,-0.01961521
2026-03-11,SE0011527613,NFLX,0.65,9,0.0,0.111111,0.111111,0.777778,-0.00200234
2026-03-11,SE0011527613,NOVN.SW,0.6,0,0.0,0.0,0.0,0.0,-0.01435168
2026-03-11,SE0011527613,NVDA,5.22,8,0.125,0.125,0.0,0.875,-0.03026396
2026-03-11,SE0011527613,PG,0.86,1,0.0,0.0,0.0,1.0,-0.04311245
2026-03-11,SE0011527613,TSLA,1.78,3,0.0,0.0,0.0,1.0,-0.03687904
2026-03-11,SE0011527613,V,0.83,3,0.666667,0.666667,0.0,0.333333,-0.03217246
2026-03-11,SE0011527613,WMT,1.03,9,0.0,0.111111,0.111111,0.777778,-0.01222767
2026-03-11,SE0012454338,000660.KS,2.88,0,0.0,0.0,0.0,0.0,0.10575916
2026-03-11,SE0012454338,005930.KS,5.18,0,0.0,0.0,0.0,0.0,0.09736842
2026-03-11,SE0012454338,1810.HK,0.7,0,0.0,0.0,0.0,0.0,0.05398918
2026-03-11,SE0012454338,2308.TW,0.7,0,0.0,0.0,0.0,0.0,0.04642857
2026-03-11,SE0012454338,2317.TW,0.78,0,0.0,0.0,0.0,0.0,-0.04109589
2026-03-11,SE0012454338,2330.TW,13.14,0,0.0,0.0,0.0,0.0,-0.01804124
2026-03-11,SE0012454338,2454.TW,0.75,0,0.0,0.0,0.0,0.0,-0.01983003
2026-03-11,SE0012454338,3690.HK,0.48,0,0.0,0.0,0.0,0.0,0.03746772
2026-03-11,SE0012454338,AU,0.5,4,-0.25,0.0,0.25,0.75,-0.13061069
2026-03-11,SE0012454338,BHARTIARTL.NS,0.49,0,0.0,0.0,0.0,0.0,0.02678474
2026-03-11,SE0012454338,HDFCBANK.NS,0.98,0,0.0,0.0,0.0,0.0,0.0109119
2026-03-11,SE0012454338,ICICIBANK.NS,0.69,0,0.0,0.0,0.0,0.0,-0.00409387
2026-03-11,SE0012454338,INFY.NS,0.44,5,0.4,0.4,0.0,0.6,-0.00720839
2026-03-11,SE0012454338,NU,0.47,4,-0.25,0.0,0.25,0.75,-0.03588678
2026-03-11,SE0012454338,PDD,0.69,5,-0.4,0.0,0.4,0.6,-0.02156597
2026-03-11,SE0012454338,RELIANCE.NS,0.89,0,0.0,0.0,0.0,0.0,0.01287586
2026-03-11,SE0012454338,VALE3.SA,0.52,0,0.0,0.0,0.0,0.0,-0.03406389
2026-03-11,SE0013358181,ABRA.TO,2.62,0,0.0,0.0,0.0,0.0,-0.16901406
2026-03-11,SE0013358181,AG.TO,9.4,3,0.333333,0.333333,0.0,0.666667,-0.20137498
2026-03-11,SE0013358181,ASM.TO,2.26,0,0.0,0.0,0.0,0.0,-0.16890597
2026-03-11,SE0013358181,AYA.TO,4.39,0,0.0,0.0,0.0,0.0,-0.18054971
2026-03-11,SE0013358181,CDE,8.69,2,0.0,0.0,0.0,1.0,-0.1390255
2026-03-11,SE0013358181,DSV.TO,4.06,0,0.0,0.0,0.0,0.0,-0.20081132
2026-03-11,SE0013358181,EDR.TO,4.01,0,0.0,0.0,0.0,0.0,-0.14182056
2026-03-11,SE0013358181,FRES.L,3.36,0,0.0,0.0,0.0,0.0,-0.09085933
2026-03-11,SE0013358181,GGD.TO,1.86,0,0.0,0.0,0.0,0.0,-0.20186338
2026-03-11,SE0013358181,HL,8.38,5,0.4,0.6,0.2,0.2,-0.12529549
2026-03-11,SE0013358181,KGH.WA,3.1,0,0.0,0.0,0.0,0.0,-0.06518773
2026-03-11,SE0013358181,MUX,3.93,0,0.0,0.0,0.0,0.0,-0.16049878
2026-03-11,SE0013358181,OR.TO,3.95,0,0.0,0.0,0.0,0.0,-0.13352761
2026-03-11,SE0013358181,PAAS.TO,8.8,1,0.0,0.0,0.0,1.0,-0.14081789
2026-03-11,SE0013358181,SCZ.V.TO,0.93,0,0.0,0.0,0.0,0.0,-0.02350745
2026-03-11,SE0013358181,SKE.TO,1.83,0,0.0,0.0,0.0,0.0,-0.13619279
2026-03-11,SE0013358181,SSRM,2.23,1,0.0,0.0,0.0,1.0,-0.14940629
2026-03-11,SE0013358181,SVM.TO,4.24,1,0.0,0.0,0.0,1.0,-0.13921689
2026-03-11,SE0013358181,USA.TO,2.3,1,1.0,1.0,0.0,0.0,-0.21845085
2026-03-11,SE0013358181,VZLA.TO,1.26,0,0.0,0.0,0.0,0.0,-0.16847823
2026-03-11,SE0013358181,WPM.TO,4.19,4,0.25,0.25,0.0,0.75,-0.12535881
2026-03-11,SE0015382114,5803.T,1.7,0,0.0,0.0,0.0,0.0,0.00214425
2026-03-11,SE0015382114,8267.T,1.85,0,0.0,0.0,0.0,0.0,0.00805234
2026-03-11,SE0015382114,AAPL,3.1,10,-0.1,0.1,0.2,0.7,-0.04167783
2026-03-11,SE0015382114,BK,1.69,5,-0.2,0.0,0.2,0.8,-0.02100409
2026-03-11,SE0015382114,CAT,2.51,5,0.0,0.0,0.0,1.0,-0.01974312
2026-03-11,SE0015382114,CLS.TO,1.5,1,0.0,0.0,0.0,1.0,0.04087342
2026-03-11,SE0015382114,FRES.L,2.24,0,0.0,0.0,0.0,0.0,-0.09085933
2026-03-11,SE0015382114,GEV,2.28,4,0.0,0.0,0.0,1.0,0.01276464
2026-03-11,SE0015382114,GLE.PA,1.98,0,0.0,0.0,0.0,0.0,-0.00705887
2026-03-11,SE0015382114,GLW,3.22,4,0.25,0.25,0.0,0.75,-0.01442011
2026-03-11,SE0015382114,LRCX,2.99,5,0.2,0.2,0.0,0.8,0.02668256
2026-03-11,SE0015382114,MCK,1.49,5,0.133333,0.2,0.2,0.6,-0.01492042
2026-03-11,SE0015382114,MMHD.TA,1.76,0,0.0,0.0,0.0,0.0,-0.03356367
2026-03-11,SE0015382114,MSFT,2.28,8,0.25,0.25,0.0,0.75,-0.03233056
2026-03-11,SE0015382114,MU,3.69,10,0.3,0.3,0.0,0.7,0.10279684
2026-03-11,SE0015382114,NEM,2.41,5,0.2,0.2,0.0,0.8,-0.08321141
2026-03-11,SE0015382114,NFLX,1.45,9,0.0,0.111111,0.111111,0.777778,-0.00200234
2026-03-11,SE0015382114,NVDA,3.69,8,0.125,0.125,0.0,0.875,-0.03026396
2026-03-11,SE0015382114,PHOE.TA,2.03,0,0.0,0.0,0.0,0.0,-0.00929152
2026-03-11,SE0015382114,POW.TO,1.55,0,0.0,0.0,0.0,0.0,0.02308047
2026-03-11,SE0015382114,PST.MI,1.58,5,-0.2,0.0,0.2,0.8,0.00369515
2026-03-11,SE0015382114,STX,2.82,3,0.0,0.0,0.0,1.0,0.05389017
2026-03-11,SE0015382114,WELL,1.85,5,0.0,0.0,0.0,1.0,0.01889643
2026-03-11,SE0015382114,WMT,1.78,9,0.0,0.111111,0.111111,0.777778,-0.01222767
2026-03-12,FI0008800511,ATCO-A.ST,6.2,0,0.0,0.0,0.0,0.0,-0.08844508
2026-03-12,FI0008800511,DNB.OL,2.8,0,0.0,0.0,0.0,0.0,0.016955
2026-03-12,FI0008800511,DNORD.CO,3.2,0,0.0,0.0,0.0,0.0,0.04491893
2026-03-12,FI0008800511,EQNR.OL,4.5,6,0.0,0.0,0.0,1.0,0.19879701
2026-03-12,FI0008800511,ERIC-B.ST,5.2,0,0.0,0.0,0.0,0.0,-0.00648753
2026-03-12,FI0008800511,NOKIA.HE,2.2,0,0.0,0.0,0.0,0.0,-0.00532364
2026-03-12,FI0008800511,NOVO-B.CO,7.5,0,0.0,0.0,0.0,0.0,-0.03684213
2026-03-12,FI0008800511,SAMPO.HE,3.5,0,0.0,0.0,0.0,0.0,0.0045366
2026-03-12,FI0008800511,SAND.ST,3.8,0,0.0,0.0,0.0,0.0,-0.11178327
2026-03-12,FI0008800511,VOLV-B.ST,8.8,0,0.0,0.0,0.0,0.0,-0.1176295
2026-03-12,SE0000740698,ATCO-A.ST,7.8,0,0.0,0.0,0.0,0.0,-0.08844508
2026-03-12,SE0000740698,ELUX-B.ST,2.2,0,0.0,0.0,0.0,0.0,-0.0335463
2026-03-12,SE0000740698,ERIC-B.ST,5.5,0,0.0,0.0,0.0,0.0,-0.00648753
2026-03-12,SE0000740698,ESSITY-B.ST,3.3,0,0.0,0.0,0.0,0.0,-0.04173051
2026-03-12,SE0000740698,INVE-B.ST,7.2,0,0.0,0.0,0.0,0.0,-0.03537699
2026-03-12,SE0000740698,KINV-B.ST,2.4,0,0.0,0.0,0.0,0.0,-0.0370513
2026-03-12,SE0000740698,SCA-B.ST,2.6,0,0.0,0.0,0.0,0.0,-0.05928175
2026-03-12,SE0000740698,SKF-B.ST,2.9,0,0.0,0.0,0.0,0.0,-0.06481076
2026-03-12,SE0000740698,VOLV-B.ST,9.5,0,0.0,0.0,0.0,0.0,-0.1176295
2026-03-12,SE0000803877,ABB.ST,3.7,0,0.0,0.0,0.0,0.0,-0.03817549
2026-03-12,SE0000803877,ALFA.ST,2.8,0,0.0,0.0,0.0,0.0,-0.02972157
2026-03-12,SE0000803877,ASSA-B.ST,4.1,0,0.0,0.0,0.0,0.0,-0.08133562
2026-03-12,SE0000803877,ATCO-A.ST,7.1,0,0.0,0.0,0.0,0.0,-0.08844508
2026-03-12,SE0000803877,BOL.ST,2.5,0,0.0,0.0,0.0,0.0,-0.1304077
2026-03-12,SE0000803877,ERIC-B.ST,6.5,0,0.0,0.0,0.0,0.0,-0.00648753
2026-03-12,SE0000803877,HEXA-B.ST,3.5,0,0.0,0.0,0.0,0.0,-0.04923223
2026-03-12,SE0000803877,HM-B.ST,3.8,0,0.0,0.0,0.0,0.0,-0.05607999
2026-03-12,SE0000803877,INVE-B.ST,6.8,0,0.0,0.0,0.0,0.0,-0.03537699
2026-03-12,SE0000803877,SAND.ST,4.5,0,0.0,0.0,0.0,0.0,-0.11178327
2026-03-12,SE0000803877,SEB-A.ST,4.2,0,0.0,0.0,0.0,0.0,-0.01494159
2026-03-12,SE0000803877,SHB-A.ST,3.1,0,0.0,0.0,0.0,0.0,0.01135118
2026-03-12,SE0000803877,SWED-A.ST,3.4,0,0.0,0.0,0.0,0.0,0.00542002
2026-03-12,SE0000803877,TELIA.ST,3.2,0,0.0,0.0,0.0,0.0,0.00599706
2026-03-12,SE0000803877,VOLV-B.ST,8.2,0,0.0,0.0,0.0,0.0,-0.1176295
2026-03-12,SE0001718388,ABBN.SW,4.66,0,0.0,0.0,0.0,0.0,-0.02776144
2026-03-12,SE0001718388,ALFA.ST,2.79,0,0.0,0.0,0.0,0.0,-0.02972157
2026-03-12,SE0001718388,ALFA.ST.ST,2.79,0,0.0,0.0,0.0,0.0,-0.02972157
2026-03-12,SE0001718388,AZN.L,3.74,8,0.125,0.25,0.125,0.625,-0.01754386
2026-03-12,SE0001718388,AZN.L.L,3.74,0,0.0,0.0,0.0,0.0,-0.01854549
2026-03-12,SE0001718388,BOL.ST,2.57,0,0.0,0.0,0.0,0.0,-0.1304077
2026-03-12,SE0001718388,BOL.ST.ST,2.57,2,0.0,0.0,0.0,1.0,-0.1304077
2026-03-12,SE0001718388,EQT.ST,4.36,9,0.0,0.222222,0.222222,0.555556,0.01843658
2026-03-12,SE0001718388,EQT.ST.ST,4.36,0,0.0,0.0,0.0,0.0,0.00061883
2026-03-12,SE0001718388,EVO.ST,1.41,7,0.285714,0.428571,0.142857,0.428571,-0.01446346
2026-03-12,SE0001718388,EVO.ST.ST,1.41,3,-0.333333,0.0,0.333333,0.666667,0.01659749
2026-03-12,SE0001718388,SAND.ST,6.32,0,0.0,0.0,0.0,0.0,-0.11178327
2026-03-12,SE0001718388,SAND.ST.ST,6.32,0,0.0,0.0,0.0,0.0,-0.11178327
2026-03-12,SE0001718388,TELIA.ST,2.3,0,0.0,0.0,0.0,0.0,0.00599706
2026-03-12,SE0001718388,TELIA.ST.ST,2.3,2,0.0,0.0,0.0,1.0,0.00599706
2026-03-12,SE0004297927,AZN.L,4.27,8,0.125,0.25,0.125,0.625,-0.01754386
2026-03-12,SE0004297927,EQT.ST,2.49,9,0.0,0.222222,0.222222,0.555556,0.01843658
2026-03-12,SE0004297927,INDT.ST,4.14,0,0.0,0.0,0.0,0.0,-0.06146786
2026-03-12,SE0004297927,SAND.ST,0.72,0,0.0,0.0,0.0,0.0,-0.11178327
2026-03-12,SE0011527613,AAPL,5.17,10,-0.1,0.1,0.2,0.7,-0.02658738
2026-03-12,SE0011527613,AMD,0.63,6,0.166667,0.166667,0.0,0.833333,0.0380803
2026-03-12,SE0011527613,AMZN,2.99,5,0.4,0.4,0.0,0.6,-0.00367491
2026-03-12,SE0011527613,ASML.AS,0.97,9,-0.111111,0.111111,0.222222,0.666667,-0.00999665
2026-03-12,SE0011527613,AVGO,1.4,5,0.4,0.4,0.0,0.6,-0.04801025
2026-03-12,SE0011527613,AZN.L,0.64,8,0.125,0.25,0.125,0.625,-0.01754386
2026-03-12,SE0011527613,CSCO,0.61,8,-0.125,0.0,0.125,0.875,0.00990487
2026-03-12,SE0011527613,GOOGL,2.37,2,0.0,0.0,0.0,1.0,0.01179383
2026-03-12,SE0011527613,HD,0.76,10,0.0,0.1,0.1,0.8,-0.03162895
2026-03-12,SE0011527613,JNJ,1.23,8,0.125,0.125,0.0,0.875,-0.01834402
2026-03-12,SE0011527613,KO,0.69,7,-0.142857,0.0,0.142857,0.857143,-0.02654294
2026-03-12,SE0011527613,MA,0.63,10,0.1,0.2,0.1,0.7,-0.01240671
2026-03-12,SE0011527613,META,1.85,2,0.0,0.0,0.0,1.0,-0.04932775
2026-03-12,SE0011527613,MRK,0.65,7,0.285714,0.285714,0.0,0.714286,-0.01475288
2026-03-12,SE0011527613,MSFT,3.91,8,0.25,0.25,0.0,0.75,-0.03195142
2026-03-12,SE0011527613,MU,0.68,10,0.3,0.3,0.0,0.7,0.09601575
2026-03-12,SE0011527613,NESN.SW,0.59,0,0.0,0.0,0.0,0.0,-0.0423644
2026-03-12,SE0011527613,NFLX,0.65,13,0.0,0.076923,0.076923,0.846154,-0.02725055
2026-03-12,SE0011527613,NOVN.SW,0.6,0,0.0,0.0,0.0,0.0,-0.0327706
2026-03-12,SE0011527613,NVDA,5.22,8,0.125,0.125,0.0,0.875,-0.0250082
2026-03-12,SE0011527613,PG,0.86,4,0.0,0.0,0.0,1.0,-0.037608
2026-03-12,SE0011527613,TSLA,1.78,3,0.0,0.0,0.0,1.0,-0.03723962
2026-03-12,SE0011527613,V,0.83,5,0.4,0.4,0.0,0.6,-0.02215337
2026-03-12,SE0011527613,WMT,1.03,11,0.0,0.090909,0.090909,0.818182,-0.03383073
2026-03-12,SE0012454338,000660.KS,2.88,0,0.0,0.0,0.0,0.0,0.08924731
2026-03-12,SE0012454338,005930.KS,5.18,0,0.0,0.0,0.0,0.0,0.06705695
2026-03-12,SE0012454338,1810.HK,0.7,0,0.0,0.0,0.0,0.0,0.09069071
2026-03-12,SE0012454338,2308.TW,0.7,0,0.0,0.0,0.0,0.0,0.0620438
2026-03-12,SE0012454338,2317.TW,0.78,0,0.0,0.0,0.0,0.0,-0.04428904
2026-03-12,SE0012454338,2330.TW,13.14,0,0.0,0.0,0.0,0.0,-0.01856764
2026-03-12,SE0012454338,2454.TW,0.75,0,0.0,0.0,0.0,0.0,-0.05882353
2026-03-12,SE0012454338,3690.HK,0.48,0,0.0,0.0,0.0,0.0,0.05215124
2026-03-12,SE0012454338,AU,0.5,4,-0.25,0.0,0.25,0.75,-0.18156633
2026-03-12,SE0012454338,BHARTIARTL.NS,0.49,0,0.0,0.0,0.0,0.0,0.01426745
2026-03-12,SE0012454338,HDFCBANK.NS,0.98,0,0.0,0.0,0.0,0.0,-0.04148903
2026-03-12,SE0012454338,ICICIBANK.NS,0.69,0,0.0,0.0,0.0,0.0,-0.01294909
2026-03-12,SE0012454338,INFY.NS,0.44,2,0.0,0.0,0.0,1.0,-0.03555064
2026-03-12,SE0012454338,NU,0.47,4,-0.25,0.0,0.25,0.75,0.01360054
2026-03-12,SE0012454338,PDD,0.69,4,-0.25,0.0,0.25,0.75,-0.04123206
2026-03-12,SE0012454338,RELIANCE.NS,0.89,0,0.0,0.0,0.0,0.0,-0.00531526
2026-03-12,SE0012454338,VALE3.SA,0.52,0,0.0,0.0,0.0,0.0,-0.03293792
2026-03-12,SE0013358181,ABRA.TO,2.62,0,0.0,0.0,0.0,0.0,-0.15051397
2026-03-12,SE0013358181,AG.TO,9.4,3,0.333333,0.333333,0.0,0.666667,-0.22612318
2026-03-12,SE0013358181,ASM.TO,2.26,0,0.0,0.0,0.0,0.0,-0.23772102
2026-03-12,SE0013358181,AYA.TO,4.39,0,0.0,0.0,0.0,0.0,-0.22662639
2026-03-12,SE0013358181,CDE,8.69,2,0.0,0.0,0.0,1.0,-0.15767635
2026-03-12,SE0013358181,DSV.TO,4.06,0,0.0,0.0,0.0,0.0,-0.19852944
2026-03-12,SE0013358181,EDR.TO,4.01,0,0.0,0.0,0.0,0.0,-0.1883073
2026-03-12,SE0013358181,FRES.L,3.36,0,0.0,0.0,0.0,0.0,-0.15261708
2026-03-12,SE0013358181,GGD.TO,1.86,0,0.0,0.0,0.0,0.0,-0.2461059
2026-03-12,SE0013358181,HL,8.38,5,0.4,0.6,0.2,0.2,-0.14223088
2026-03-12,SE0013358181,KGH.WA,3.1,0,0.0,0.0,0.0,0.0,-0.09854276
2026-03-12,SE0013358181,MUX,3.93,0,0.0,0.0,0.0,0.0,-0.1993451
2026-03-12,SE0013358181,OR.TO,3.95,0,0.0,0.0,0.0,0.0,-0.17160795
2026-03-12,SE0013358181,PAAS.TO,8.8,0,0.0,0.0,0.0,0.0,-0.18973731
2026-03-12,SE0013358181,SCZ.V.TO,0.93,0,0.0,0.0,0.0,0.0,-0.00848001
2026-03-12,SE0013358181,SKE.TO,1.83,0,0.0,0.0,0.0,0.0,-0.17528539
2026-03-12,SE0013358181,SSRM,2.23,0,0.0,0.0,0.0,0.0,-0.18255851
2026-03-12,SE0013358181,SVM.TO,4.24,1,0.0,0.0,0.0,1.0,-0.17111962
2026-03-12,SE0013358181,USA.TO,2.3,1,1.0,1.0,0.0,0.0,-0.2618613
2026-03-12,SE0013358181,VZLA.TO,1.26,0,0.0,0.0,0.0,0.0,-0.17514121
2026-03-12,SE0013358181,WPM.TO,4.19,3,0.333333,0.333333,0.0,0.666667,-0.16328891
2026-03-12,SE0015382114,5803.T,1.7,0,0.0,0.0,0.0,0.0,-0.01439689
2026-03-12,SE0015382114,8267.T,1.85,0,0.0,0.0,0.0,0.0,-0.04682109
2026-03-12,SE0015382114,AAPL,3.1,10,-0.1,0.1,0.2,0.7,-0.02658738
2026-03-12,SE0015382114,BK,1.69,5,-0.2,0.0,0.2,0.8,-0.01895493
2026-03-12,SE0015382114,CAT,2.51,5,0.0,0.0,0.0,1.0,-0.01718303
2026-03-12,SE0015382114,CLS.TO,1.5,1,0.0,0.0,0.0,1.0,0.08184789
2026-03-12,SE0015382114,FRES.L,2.24,0,0.0,0.0,0.0,0.0,-0.15261708
2026-03-12,SE0015382114,GEV,2.28,4,0.0,0.0,0.0,1.0,0.05441592
2026-03-12,SE0015382114,GLE.PA,1.98,0,0.0,0.0,0.0,0.0,-0.0301554
2026-03-12,SE0015382114,GLW,3.22,4,0.25,0.25,0.0,0.75,0.02550665
2026-03-12,SE0015382114,LRCX,2.99,5,0.2,0.2,0.0,0.8,0.11695069
2026-03-12,SE0015382114,MCK,1.49,5,0.133333,0.2,0.2,0.6,-0.04808545
2026-03-12,SE0015382114,MMHD.TA,1.76,0,0.0,0.0,0.0,0.0,-0.02681837
2026-03-12,SE0015382114,MSFT,2.28,8,0.25,0.25,0.0,0.75,-0.03195142
2026-03-12,SE0015382114,MU,3.69,10,0.3,0.3,0.0,0.7,0.09601575
2026-03-12,SE0015382114,NEM,2.41,5,0.2,0.2,0.0,0.8,-0.13347315
2026-03-12,SE0015382114,NFLX,1.45,13,0.0,0.076923,0.076923,0.846154,-0.02725055
2026-03-12,SE0015382114,NVDA,3.69,8,0.125,0.125,0.0,0.875,-0.0250082
